nome_comum	nome_cientifico	familia	estrato	sucessao	sistema	grupo	pagina
Louro Freijó	Cordia goeldiana	Boraginaceae	Emergente	Clímax	Abundância	Madeira	7
Louro Pardo	Cordia trichotoma	Boraginaceae	Emergente	Clímax	Abundância	Madeira	7
Lupino	Lupinus spp.	Fabaceae	Alto	Placenta 1	Retomada	Matéria Orgânica	7
Maçã	Malus domestica	Rosaceae	Alto	Secundária Tardia	Abundância	Fruta	7
Macadâmia	Macadamia integrifolia	Proteaceae	Alto	Secundária Tardia	Abundância	Fruta	7
Macaúba	Acrocomia aculeata	Arecaceae	Alto	Secundária Tardia	Acumulação	Fruta	8
Maguey	Agave americana	Asparagaceae	Alto	Pioneira	Acumulação	Bebida	8
Malvavisco	Malvaviscus arboreus	Malvaceae	Baixo	Pioneira	Acumulação	Ornamental	8
Mamão	Carica papaya	Caricaceae	Emergente	Placenta 2	Abundância	Fruta	8
Mamey	Pouteria sapota	Sapotaceae	Alto	Secundária Tardia	Abundância	Fruta	8
Manacá	Tibouchina mutabilis	Melastomataceae	Alto	Secundária Média	Acumulação	Ornamental	8
Mandacaru	Cereus jamacaru	Cactaceae	Emergente	Secundária Inicial	Acumulação	Matéria Orgânica	8
Mandioca	Manihot esculenta	Euphorbiaceae	Alto	Placenta 2	Acumulação	Hortaliça	8
Manga	Mangifera indica	Anacardiaceae	Alto	Clímax	Abundância	Fruta	8
Mangaba	Hancornia speciosa	Apocynaceae	Médio	Clímax	Abundância	Fruta	8
Mangarito	Solanum sessiliflorum	Solanaceae	Baixo	Placenta 1	Abundância	Fruta	8
Mangostao	Garcinia mangostana	Clusiaceae	Médio	Secundária Tardia	Abundância	Fruta	8
Manjericão	Ocimum basilicum	Lamiaceae	Alto	Placenta 2	Abundância	Hortaliça	8
Manjerona	Origanum majorana	Lamiaceae	Médio	Placenta 2	Retomada	Hortaliça	8
Maracujá Azedo	Passiflora edulis	Passifloraceae	Alto	Placenta 2	Abundância	Fruta	8
Maracuja Doce	Passiflora alata	Passifloraceae	Alto	Placenta 2	Abundância	Fruta	8
Margaridao Branco	Montanoa bipinnatifida	Asteraceae	Alto	Pioneira	Retomada	Ornamental	8
Mariri	Banisteriopsis caapi	Malpighiaceae	Emergente	Secundária Tardia	Abundância	Medicinal	8
Marmelada de Cachorro	Cordiera sessilis	Rubiaceae	Baixo	Secundária Média	Acumulação	Fruta	8
Marmelo	Cydonia oblonga	Rosaceae	Baixo	Secundária Tardia	Abundância	Fruta	8
Maxixe	Cucumis anguria	Cucurbitaceae	Médio	Placenta 1	Acumulação	Hortaliça	8
Medronho	Arbutus unedo	Ericaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	8
Melancia	Citrullus lanatus	Cucurbitaceae	Médio	Placenta 1	Abundância	Fruta	8
Melão	Cucumis melo	Cucurbitaceae	Médio	Placenta 1	Abundância	Fruta	8
Melão de São Caetano	Momordica charantia	Cucurbitaceae	Alto	Placenta 2	Abundância	Medicinal	8
Melissa	Melissa officinalis	Lamiaceae	Médio	Placenta 2	Retomada	Medicinal	8
Milheto	Pennisetum glaucum	Poaceae	Emergente	Placenta 1	Retomada	Matéria Orgânica	8
Milho verde	Zea mays	Poaceae	Emergente	Placenta 1	Abundância	Hortaliça	8
Mirra	Tetradenia riparia	Lamiaceae	Alto	Placenta 2	Retomada	Aromática	8
Mirtilo	Vaccinium corymbosum	Ericaceae	Alto	Pioneira	Acumulação	Fruta	8
Mogno Africano	Khaya ivorensis	Meliaceae	Emergente	Clímax	Abundância	Madeira	8
Morango	Fragaria × ananassa	Rosaceae	Médio	Placenta 2	Abundância	Hortaliça	8
Moringa	Moringa oleifera	Moringaceae	Emergente	Pioneira	Acumulação	Matéria Orgânica	8
Mostarda	Brassica juncea	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	8
Mucuna	Mucuna pruriens	Fabaceae	Alto	Placenta 1	Acumulação	Matéria Orgânica	8
Mulungu	Erythrina verna	Fabaceae	Alto	Secundária Tardia	Acumulação	Matéria Orgânica	8
Murici	Byrsonima crassifolia	Malpighiaceae	Médio	Secundária Média	Abundância	Fruta	8
Mutamba	Guazuma ulmifolia	Malvaceae	Alto	Secundária Média	Abundância	Madeira	8
Nabo	Brassica rapa subsp. rapa	Brassicaceae	Médio	Placenta 1	Abundância	Hortaliça	8
Nabo Forrageiro	Raphanus sativus	Brassicaceae	Alto	Placenta 1	Acumulação	Matéria Orgânica	9
Nectarina	Prunus persica var. nucipersica	Rosaceae	Alto	Secundária Média	Abundância	Fruta	9
Nêspera	Eriobotrya japonica	Rosaceae	Médio	Secundária Inicial	Abundância	Fruta	9
Nim	Azadirachta indica	Meliaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	9
Nogueira	Juglans regia	Juglandaceae	Emergente	Secundária Média	Abundância	Fruta	9
Noz pecã	Carya illinoinensis	Juglandaceae	Emergente	Clímax	Abundância	Fruta	9
Olho de Cabra	Ormosia arborea	Fabaceae	Alto	Secundária Tardia	Abundância	Ornamental	9
Oliveira	Olea europaea	Oleaceae	Alto	Clímax	Abundância	Fruta	9
Ora-pro-nobis	Pereskia aculeata	Cactaceae	Médio	Secundária Inicial	Acumulação	Panc	9
Orégano	Origanum vulgare	Lamiaceae	Médio	Placenta 2	Retomada	Tempero	9
Paineira	Ceiba speciosa	Malvaceae	Emergente	Secundária Média	Acumulação	Matéria Orgânica	9
Pak Choi	Brassica rapa	Brassicaceae	Médio	Placenta 1	Abundância	Hortaliça	9
Palma Forrageira	Opuntia ficus indica	Cactaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	9
Palmeira Areca	Dypsis lutescens	Arecaceae	Médio	Secundária Inicial	Abundância	Ornamental	9
Palmeira Azul	Bismarckia nobilis	Arecaceae	Emergente	Secundária Tardia	Abundância	Ornamental	9
Palmeira Imperial	Roystonea oleracea	Arecaceae	Emergente	Clímax	Abundância	Palmito	9
Palmeira Real	Archontophoenix cunninghamiana	Arecaceae	Alto	Secundária Média	Acumulação	Palmito	9
Paricá	Schizolobium amazonicum	Fabaceae	Emergente	Secundária Inicial	Acumulação	Madeira	9
Pariparoba	Piper umbellatum	Piperaceae	Baixo	Placenta 2	Abundância	Medicinal	9
Pata de Vaca	Bauhinia forficata	Fabaceae	Alto	Secundária Média	Abundância	Matéria Orgânica	9
Pau Brasil	Paubrasilia echinata	Fabaceae	Emergente	Clímax	Abundância	Madeira	9
Pau Cigarra	Senna multijuga	Fabaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	9
Pau d'alho	Gallesia integrifolia	Phytolaccaceae	Emergente	Secundária Tardia	Abundância	Matéria Orgânica	9
Pau Ferro	Libidibia ferrea	Fabaceae	Emergente	Clímax	Acumulação	Madeira	9
Pau Formiga	Triplaris americana	Polygonaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	9
Pau Jacaré	Piptadenia gonocantha	Fabaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	9
Pau Pólvora	Trema micrantha	Cannabaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	9
Pepino	Cucumis sativus	Cucurbitaceae	Médio	Placenta 1	Abundância	Hortaliça	9
Pepino Caipira	Cucumis sativus	Cucurbitaceae	Baixo	Placenta 1	Abundância	Hortaliça	9
Pequi	Caryocar brasiliense	Caryocaraceae	Alto	Secundária Média	Abundância	Fruta	9
Pequiá	Caryocar villosum	Caryocaraceae	Emergente	Clímax	Abundância	Madeira	9
Pêra	Pyrus communis	Rosaceae	Alto	Secundária Tardia	Abundância	Fruta	9
Peroba Rosa	Aspidosperma polyneuron	Apocynaceae	Emergente	Clímax	Abundância	Madeira	9
Pêssego	Prunus persica	Rosaceae	Alto	Secundária Média	Abundância	Fruta	9
Physalis	Physalis spp.	Solanaceae	Médio	Placenta 1	Abundância	Fruta	9
Picão Preto	Bidens pilosa	Asteraceae	Médio	Placenta 1	Acumulação	Panc	9
Pimenta Biquinho	Capsicum chinense	Solanaceae	Médio	Placenta 1	Abundância	Hortaliça	9
Pimenta Dedo de Moça	Capsicum baccatum	Solanaceae	Médio	Placenta 1	Abundância	Hortaliça	9
Pimenta Malagueta	Capsicum frutescens	Solanaceae	Médio	Placenta 2	Abundância	Hortaliça	9
Pimentão	Capsicum annuum	Solanaceae	Alto	Placenta 2	Abundância	Hortaliça	9
Pindaíba	Xylopia emarginata	Annonaceae	Emergente	Secundária Média	Abundância	Madeira	9
Pinha	Annona squamosa	Annonaceae	Médio	Secundária Inicial	Abundância	Fruta	9
Pinus	Pinus spp.	Pinaceae	Emergente	Secundária Tardia	Acumulação	Madeira	10
Pistache	Pistacia vera	Anacardiaceae	Alto	Secundária Inicial	Acumulação	Castanha	10
Pitanga	Eugenia uniflora	Myrtaceae	Alto	Secundária Média	Abundância	Fruta	10
Pitaya	Hylocereus undatus	Cactaceae	Alto	Secundária Inicial	Abundância	Fruta	10
Piteira	Agave americana	Agavaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	10
Pitomba	Talisia esculenta	Sapindaceae	Alto	Secundária Média	Abundância	Fruta	10
Plátano	Platanus spp.	Platanaceae	Emergente	Secundária Média	Abundância	Matéria Orgânica	10
Ponkan	Citrus reticulata	Rutaceae	Médio	Secundária Média	Abundância	Fruta	10
Pupunha	Bactris gasipaes	Arecaceae	Alto	Secundária Tardia	Abundância	Palmito	10
Quaresmeira	Tibouchina granulosa	Melastomataceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	10
Quiabo	Abelmoschus esculentus	Malvaceae	Emergente	Placenta 1	Abundância	Hortaliça	10
Rabanete	Raphanus sativus	Brassicaceae	Emergente	Placenta 1	Abundância	Hortaliça	10
Rambutã	Nephelium lappaceum	Sapindaceae	Alto	Secundária Média	Abundância	Fruta	10
Rami	Boehmeria nivea	Urticaceae	Médio	Placenta 2	Abundância	Forrageira	10
Ravenala	Ravenala madagascariensis	Strelitziaceae	Alto	Secundária Média	Abundância	Ornamental	10
Repolho	Brassica oleracea var. capitata	Brassicaceae	Alto	Placenta 1	Abundância	Hortaliça	10
Romã	Punica granatum	Lythraceae	Alto	Secundária Média	Abundância	Fruta	10
Rúcula	Eruca vesicaria	Brassicaceae	Médio	Placenta 1	Abundância	Hortaliça	10
Sabiá	Mimosa caesalpiniaefolia	Fabaceae	Alto	Secundária Inicial	Acumulação	Madeira	10
Saboneteiro	Sapindus saponaria	Sapindaceae	Alto	Secundária Média	Acumulação	Matéria Orgânica	10
Sabugueiro	Sambucus nigra	Adoxaceae	Baixo	Pioneira	Abundância	Matéria Orgânica	10
Salsão	Apium graveolens	Apiaceae	Médio	Placenta 1	Abundância	Hortaliça	10
Salsinha	Petroselinum crispum	Apiaceae	Médio	Placenta 1	Abundância	Hortaliça	10
Samambaia Açu	Dicksonia sellowiana	Dicksoniaceae	Baixo	Clímax	Abundância	Ornamental	10
Samambaia Feto de Gaiola	Pteridium aquilinum	Dennstaedtiaceae	Alto	Pioneira	Retomada	Matéria Orgânica	10
Samauma	Ceiba pentandra	Malvaceae	Emergente	Clímax	Abundância	Matéria Orgânica	10
Sangra d'água	Croton urucurana	Euphorbiaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	10
Santa Bárbara	Melia azedarach	Meliaceae	Emergente	Secundária Média	Acumulação	Matéria Orgânica	10
Sapoti	Manilkara zapota	Sapotaceae	Alto	Clímax	Abundância	Fruta	10
Sapucaia	Lecythis pisonis	Lecythidaceae	Emergente	Clímax	Abundância	Madeira	10
Seringueira	Hevea brasiliensis	Euphorbiaceae	Alto	Clímax	Abundância	Madeira	10
Serralha	Sonchus oleraceus	Asteraceae	Médio	Placenta 1	Acumulação	Panc	10
Sibipiruna	Caesalpinia pluviosa	Fabaceae	Alto	Secundária Tardia	Acumulação	Matéria Orgânica	10
Siriguela	Spondias purpurea	Anacardiaceae	Alto	Secundária Média	Acumulação	Fruta	10
Sisal	Agave sisalana	Agavaceae	Alto	Pioneira	Acumulação	Matéria Orgânica	10
Soja	Glycine max	Fabaceae	Alto	Placenta 1	Abundância	Grão	10
Sombreiro	Terminalia amazonia	Combretaceae	Alto	Secundária Média	Abundância	Madeira	10
Sorgo	Sorghum bicolor	Poaceae	Emergente	Placenta 1	Acumulação	Matéria Orgânica	10
Sucupira Branca	Pterodon emarginatus	Fabaceae	Emergente	Clímax	Abundância	Madeira	10
Sucupira Preta	Bowdichia virgilioides	Fabaceae	Emergente	Clímax	Abundância	Madeira	10
Taioba	Xanthosoma sagittifolium	Araceae	Baixo	Placenta 2	Abundância	Panc	10
Tâmara	Phoenix dactylifera	Arecaceae	Emergente	Clímax	Abundância	Fruta	11
Tamarindo	Tamarindus indica	Fabaceae	Emergente	Secundária Tardia	Abundância	Fruta	11
Tamboril	Enterolobium contortisiliquum	Fabaceae	Emergente	Clímax	Abundância	Madeira	11
Tanchagem	Plantago major	Plantaginaceae	Médio	Placenta 2	Retomada	Medicinal	11
Tangerina Kinkan	Citrus japonica	Rutaceae	Médio	Secundária Média	Abundância	Fruta	11
Tapiá	Alchornea glandulosa	Euphorbiaceae	Alto	Secundária Inicial	Acumulação	Matéria Orgânica	11
Taquara	Guadua angustifolia	Poaceae	Alto	Secundária Inicial	Acumulação	Ornamental	11
Tatajuba	Bagassa guianensis	Moraceae	Emergente	Clímax	Abundância	Madeira	11
Teca	Tectona grandis	Lamiaceae	Emergente	Clímax	Abundância	Madeira	11
Tingui	Magonia pubescens	Sapindaceae	Alto	Secundária Tardia	Acumulação	Medicinal	11
Tomate	Solanum lycopersicum	Solanaceae	Alto	Placenta 1	Abundância	Hortaliça	11
Tomilho	Thymus vulgaris	Lamiaceae	Médio	Placenta 2	Retomada	Hortaliça	11
Trapoeraba	Commelina benghalensis	Commelinaceae	Baixo	Placenta 2	Acumulação	Panc	11
Tucaneira	Citharexylum myrianthum	Verbenaceae	Emergente	Secundária Média	Acumulação	Matéria Orgânica	11
Tucumã	Astrocaryum aculeatum	Arecaceae	Médio	Secundária Tardia	Abundância	Palmeira	11
Tupinambo	Helianthus tuberosus	Asteraceae	Alto	Placenta 1	Abundância	Panc	11
Umbu	Spondias tuberosa	Anacardiaceae	Alto	Clímax	Abundância	Fruta	11
Urucum	Bixa orellana	Bixaceae	Médio	Secundária Inicial	Abundância	Matéria Orgânica	11
Uva	Vitis vinifera	Vitaceae	Alto	Secundária Tardia	Abundância	Fruta	11
Uva Japão	Hovenia dulcis	Rhamnaceae	Alto	Secundária Média	Abundância	Madeira	11
Uvaia	Eugenia pyriformis	Myrtaceae	Alto	Secundária Inicial	Abundância	Fruta	11
Vagem	Phaseolus vulgaris	Fabaceae	Alto	Placenta 1	Abundância	Hortaliça	11
Vetiver	Chrysopogon zizanioides	Poaceae	Médio	Pioneira	Retomada	Matéria Orgânica	11
Vinagreira	Hibiscus sabdariffa	Malvaceae	Alto	Placenta 1	Acumulação	Panc	11
Yacon	Smallanthus sonchifolius	Asteraceae	Alto	Placenta 1	Abundância	Hortaliça	11
Zedoaria	Curcuma zedoaria	Zingiberaceae	Baixo	Placenta 2	Abundância	Medicinal	11
